C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
4329,338,5000,3321,5000,4610,5000,153,5000,2146,5000,4901,3412,205,5000,1490,4901,4901,3536,520,5000,529,5000,4901,4804,241,5000,1373,5000,2792,3560,232,4610,738,4901,1153,1378,160,1508,328,1885,488,580,173,477,234,485,241,185,121,260,122,298,116
3557,740,4901,389,5000,4901,2349,277,4901,1348,5000,4705,4264,274,4901,2842,5000,4901,4021,370,5000,1105,5000,5000,4709,596,5000,530,5000,2522,2665,370,4901,626,4901,1082,1405,260,1385,305,1802,493,449,225,477,169,530,160,178,116,229,170,245,130
4525,377,5000,725,5000,5000,3809,953,5000,185,5000,4802,5000,225,5000,485,5000,4901,2465,505,5000,3393,5000,5000,4517,229,4901,1994,5000,3005,3524,170,4525,1066,4901,1060,773,260,1642,436,2036,505,365,197,410,137,538,162,178,116,200,125,305,90
4082,292,4901,1521,5000,4901,3293,338,5000,2745,4901,5000,4705,277,5000,149,4901,4802,2600,1370,5000,3524,5000,4901,4436,425,5000,1314,5000,2561,3109,554,4349,784,4901,1234,1073,421,1469,328,1885,409,365,257,410,221,522,185,260,100,225,173,200,145
,,,,,,,,,,,,,,,,,,,1145,,,,,,,,,,,3229,313,3944,369,4901,1297,,,,,,,244,149,409,109,626,178,265,130,314,122,194,145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578,290,4058,772,4901,1090,,,,,,,369,181,450,130,466,146,205,136,229,100,261,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762,410,4436,580,4901,916,,,,,,,445,125,500,153,554,185,202,153,205,164,197,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2842,562,4610,904,5000,776,,,,,,,457,170,577,130,505,173,257,200,234,122,241,324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897,505,4436,650,4901,1009,,,,,,,404,148,484,145,661,200,180,160,169,234,196,178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445,538,4001,680,4901,1105,,,,,,,425,122,410,170,466,202,225,170,229,137,265,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,245,4337,585,4901,1184,,,,,,,392,234,488,160,733,250,229,104,200,109,205,137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341,137,4709,738,4901,884,,,,,,,353,125,538,257,577,170,314,137,260,145,212,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,657,4436,842,4901,985,,,,,,,754,229,370,170,538,205,194,116,226,101,260,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,442,4349,788,5000,970,,,,,,,457,125,485,173,580,170,257,101,293,125,293,145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328,257,4420,730,5000,1040,,,,,,,340,125,565,178,626,137,265,85,257,212,226,229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3301,340,4426,362,5000,1069,,,,,,,424,197,641,180,554,196,325,101,245,128,265,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741,306,4426,801,5000,1421,,,,,,,488,148,650,148,509,197,197,122,245,101,257,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616,410,4426,778,4901,1033,,,,,,,445,148,580,162,529,178,197,125,226,125,200,121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748,388,4525,986,4901,850,,,,,,,449,122,629,153,520,200,197,145,229,225,226,153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,250,4145,244,4802,1061,,,,,,,389,185,466,170,577,200,194,121,260,125,289,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258,362,4264,745,4901,985,,,,,,,328,169,410,185,485,146,232,225,261,125,226,121
